[2015-06-15 15:46:37][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '4', `coupon_id` = '4', `coupon_name` = '4', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:46:37][12552][INFO]return successfully! | excute time:0(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '4', `coupon_id` = '4', `coupon_name` = '4', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:47:30][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:47:30][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 15:47:30][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '4', `coupon_id` = '4', `coupon_name` = '4', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:47:30][12552][INFO]return successfully! | excute time:0(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '4', `coupon_id` = '4', `coupon_name` = '4', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:48:38][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:48:38][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 15:48:38][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '4', `coupon_id` = '4', `coupon_name` = '4', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:48:38][12552][INFO]return successfully! | excute time:2(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '4', `coupon_id` = '4', `coupon_name` = '4', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:49:28][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:49:28][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 15:49:28][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '超市发', `coupon_id` = '34', `coupon_name` = '43', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:49:28][12552][INFO]return successfully! | excute time:0(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '超市发', `coupon_id` = '34', `coupon_name` = '43', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:50:04][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:50:04][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 15:50:04][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '超市发', `coupon_id` = '2323', `coupon_name` = '23', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:50:04][12552][INFO]return successfully! | excute time:1(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '超市发', `coupon_id` = '2323', `coupon_name` = '23', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:51:19][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:51:19][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 15:51:19][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '超市发', `coupon_id` = '2323', `coupon_name` = '23', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:51:19][12552][INFO]return successfully! | excute time:1(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '超市发', `coupon_id` = '2323', `coupon_name` = '23', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:51:51][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:51:51][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 15:51:51][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '超市发', `coupon_id` = '2323', `coupon_name` = '23', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:51:51][12552][INFO]return successfully! | excute time:0(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '超市发', `coupon_id` = '2323', `coupon_name` = '23', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:52:55][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:52:55][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 15:52:55][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '个', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:52:55][12552][INFO]return successfully! | excute time:1(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '个', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:53:40][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:53:40][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 15:53:40][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '个', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:53:40][12552][INFO]return successfully! | excute time:1(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '个', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '', `updatedate` = '']
[2015-06-15 15:54:06][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:54:06][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 15:54:06][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '个', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-15 15:54:06', `updatedate` = '2015-06-15 15:54:06']
[2015-06-15 15:54:06][12552][INFO]return successfully! | excute time:33(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '个', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-15 15:54:06', `updatedate` = '2015-06-15 15:54:06']
[2015-06-15 15:56:33][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 15:56:33][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 15:56:33][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '好', `coupon_id` = '5', `coupon_name` = '5', `isvalid` = '1', `insertdate` = '2015-06-15 15:56:33', `updatedate` = '2015-06-15 15:56:33']
[2015-06-15 15:56:33][12552][INFO]return successfully! | excute time:0(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '好', `coupon_id` = '5', `coupon_name` = '5', `isvalid` = '1', `insertdate` = '2015-06-15 15:56:33', `updatedate` = '2015-06-15 15:56:33']
[2015-06-15 16:00:25][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 16:00:25][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 16:00:25][12552][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '发的', `coupon_id` = '34', `coupon_name` = '34', `isvalid` = '1', `insertdate` = '2015-06-15 16:00:25', `updatedate` = '2015-06-15 16:00:25']
[2015-06-15 16:00:25][12552][INFO]return successfully! | excute time:2(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '发的', `coupon_id` = '34', `coupon_name` = '34', `isvalid` = '1', `insertdate` = '2015-06-15 16:00:25', `updatedate` = '2015-06-15 16:00:25']
[2015-06-15 16:09:40][12552][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-15 16:09:40][12552][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-15 16:09:40][12552][INFO]return successfully! | SQL[set names utf8]
[2015-06-15 16:09:40][12552][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
