[2015-06-17 18:35:25][6484][INFO]return successfully! | excute time:18(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:25', `updatedate` = '2015-06-17 18:35:25']
[2015-06-17 18:35:25][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:35:25][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:35:25][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:35:25][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:35:25][6484][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:25', `updatedate` = '2015-06-17 18:35:25']
[2015-06-17 18:35:25][6484][INFO]return successfully! | excute time:15(ms) SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:25', `updatedate` = '2015-06-17 18:35:25']
[2015-06-17 18:35:25][6484][INFO]return successfully! | SQL[SET NAMES latin1]
[2015-06-17 18:35:25][6484][INFO]return successfully! | excute time:0(ms) SQL[SET NAMES latin1]
[2015-06-17 18:35:25][6484][INFO]return successfully! | SQL[set names utf8]
[2015-06-17 18:35:25][6484][INFO]return successfully! | excute time:0(ms) SQL[set names utf8]
[2015-06-17 18:35:25][6484][INFO]return successfully! | SQL[INSERT INTO ys_channelinfo SET `channel_name` = '年后', `coupon_id` = '45', `coupon_name` = '45', `isvalid` = '1', `insertdate` = '2015-06-17 18:35:25', `updatedate` = '2015-06-17 18:35:25']
